munic;codigo_ibge;latitude;longitude
Cordeirópolis;3512407;-22.4778;-47.4519
Coroados;3512506;-21.3521;-50.2859
Coronel Macedo;3512605;-23.6261;-49.31
Corumbataí;3512704;-22.2213;-47.6215
Cosmópolis;3512803;-22.6419;-47.1926
Cosmorama;3512902;-20.4755;-49.7827
Cotia;3513009;-23.6022;-46.919
Cravinhos;3513108;-21.338;-47.7324
Cristais Paulista;3513207;-20.4036;-47.4209
Cruzália;3513306;-22.7373;-50.7909
Cruzeiro;3513405;-22.5728;-44.969
Cubatão;3513504;-23.8911;-46.424
Cunha;3513603;-23.0731;-44.9576
Descalvado;3513702;-21.9002;-47.6181
Diadema;3513801;-23.6813;-46.6205
Dirce Reis;3513850;-20.4642;-50.6073
Divinolândia;3513900;-21.6637;-46.7361
Dobrada;3514007;-21.5155;-48.3935
Dois Córregos;3514106;-22.3673;-48.3819
Dolcinópolis;3514205;-20.124;-50.5149
Dourado;3514304;-22.1044;-48.3178
Dracena;3514403;-21.4843;-51.535
Duartina;3514502;-22.4146;-49.4084
Dumont;3514601;-21.2324;-47.9756
Echaporã;3514700;-22.4326;-50.2038
Eldorado;3514809;-24.5281;-48.1141
Elias Fausto;3514908;-23.0428;-47.3682
Elisiário;3514924;-21.1678;-49.1146
Embaúba;3514957;-20.9796;-48.8325
Embu das Artes;3515004;-23.6437;-46.8579
Embu-Guaçu;3515103;-23.8297;-46.8136
Emilianópolis;3515129;-21.8314;-51.4832
Engenheiro Coelho;3515152;-22.4836;-47.211
Espírito Santo do Pinhal;3515186;-22.1909;-46.7477
Espírito Santo do Turvo;3515194;-22.6925;-49.4341
Estiva Gerbi;3557303;-22.2713;-46.9481
Estrela d'Oeste;3515202;-20.2875;-50.4049
Estrela do Norte;3515301;-22.4859;-51.6632
Euclides da Cunha Paulista;3515350;-22.5545;-52.5928
Fartura;3515400;-23.3916;-49.5124
Fernando Prestes;3515608;-21.2661;-48.6874
Fernandópolis;3515509;-20.2806;-50.2471
Fernão;3515657;-22.3607;-49.5187
Ferraz de Vasconcelos;3515707;-23.5411;-46.371
Flora Rica;3515806;-21.6727;-51.3821
Floreal;3515905;-20.6752;-50.1513
Flórida Paulista;3516002;-21.6127;-51.1724
Florínia;3516101;-22.868;-50.6814
Franca;3516200;-20.5352;-47.4039
Francisco Morato;3516309;-23.2792;-46.7448
Franco da Rocha;3516408;-23.3229;-46.729
Gabriel Monteiro;3516507;-21.5294;-50.5573
Gália;3516606;-22.2918;-49.5504
Garça;3516705;-22.2125;-49.6546
Gastão Vidigal;3516804;-20.7948;-50.1912
Gavião Peixoto;3516853;-21.8367;-48.4957
General Salgado;3516903;-20.6485;-50.364
Getulina;3517000;-21.7961;-49.9312
Glicério;3517109;-21.3812;-50.2123
Guaiçara;3517208;-21.6195;-49.8013
Guaimbê;3517307;-21.9091;-49.8986
Guaíra;3517406;-20.3196;-48.312
Guapiaçu;3517505;-20.7959;-49.2172
Guapiara;3517604;-24.1892;-48.5295
Guará;3517703;-20.4302;-47.8236
Guaraçaí;3517802;-21.0292;-51.2119
Guaraci;3517901;-20.4977;-48.9391
Guarani d'Oeste;3518008;-20.0746;-50.3411
Guarantã;3518107;-21.8942;-49.5914
Guararapes;3518206;-21.2544;-50.6453
Guararema;3518305;-23.4112;-46.0369
Guaratinguetá;3518404;-22.8075;-45.1938
Guareí;3518503;-23.3714;-48.1837
Guariba;3518602;-21.3594;-48.2316
Guarujá;3518701;-23.9888;-46.258
Guarulhos;3518800;-23.4538;-46.5333
Guatapará;3518859;-21.4944;-48.0356
Guzolândia;3518909;-20.6467;-50.6645
Herculândia;3519006;-22.0038;-50.3907
Holambra;3519055;-22.6405;-47.0487
Hortolândia;3519071;-22.8529;-47.2143
Iacanga;3519105;-21.8896;-49.031
Iacri;3519204;-21.8572;-50.6932
Iaras;3519253;-22.8682;-49.1634
Ibaté;3519303;-21.9584;-47.9882
Ibirá;3519402;-21.083;-49.2448
Ibirarema;3519501;-22.8185;-50.0739
