munic;codigo_ibge;latitude;longitude
Taquarituba;3553807;-23.5307;-49.241
Taquarivaí;3553856;-23.9211;-48.6948
Tarabai;3553906;-22.3016;-51.5621
Tarumã;3553955;-22.7429;-50.5786
Tatuí;3554003;-23.3487;-47.8461
Taubaté;3554102;-23.0104;-45.5593
Tejupá;3554201;-23.3425;-49.3722
Teodoro Sampaio;3554300;-22.5299;-52.1682
Terra Roxa;3554409;-20.787;-48.3314
Tietê;3554508;-23.1101;-47.7164
Timburi;3554607;-23.2057;-49.6096
Torre de Pedra;3554656;-23.2462;-48.1955
Torrinha;3554706;-22.4237;-48.1731
Trabiju;3554755;-22.0388;-48.3342
Tremembé;3554805;-22.9571;-45.5475
Três Fronteiras;3554904;-20.2344;-50.8905
Tuiuti;3554953;-22.8193;-46.6937
Tupã;3555000;-21.9335;-50.5191
Tupi Paulista;3555109;-21.3825;-51.575
Turiúba;3555208;-20.9428;-50.1135
Turmalina;3555307;-20.0486;-50.4792
Ubarana;3555356;-21.165;-49.7198
Ubatuba;3555406;-23.4332;-45.0834
Ubirajara;3555505;-22.5272;-49.6613
Uchoa;3555604;-20.9511;-49.1713
União Paulista;3555703;-20.8862;-49.9025
Urânia;3555802;-20.2455;-50.6455
Uru;3555901;-21.7866;-49.2848
Urupês;3556008;-21.2032;-49.2931
Valentim Gentil;3556107;-20.4217;-50.0889
Valinhos;3556206;-22.9698;-46.9974
Valparaíso;3556305;-21.2229;-50.8699
Vargem;3556354;-22.887;-46.4124
Vargem Grande do Sul;3556404;-21.8322;-46.8913
Vargem Grande Paulista;3556453;-23.5993;-47.022
Várzea Paulista;3556503;-23.2136;-46.8234
Vera Cruz;3556602;-22.2183;-49.8207
Vinhedo;3556701;-23.0302;-46.9833
Viradouro;3556800;-20.8734;-48.293
Vista Alegre do Alto;3556909;-21.1692;-48.6284
Vitória Brasil;3556958;-20.1956;-50.4875
Votorantim;3557006;-23.5446;-47.4388
Votuporanga;3557105;-20.4237;-49.9781
Zacarias;3557154;-21.0506;-50.0552
