"Localidades";"Períodos";"População ";"População Masculina ";"População Feminina ";"Razão de Sexos ";"População Urbana ";"População Rural ";"Grau de Urbanização (Em %)";"Cód. IBGE"
"Serra Negra";"2020";"27440";"13276";"14164";"93,73";"23897";"3543";"87,09";3551603
"Serrana";"2020";"44434";"22166";"22268";"99,54";"44183";"251";"99,44";3551504
"Sertãozinho";"2020";"122355";"60606";"61749";"98,15";"121772";"583";"99,52";3551702
"Sete Barras";"2020";"12628";"6376";"6252";"101,98";"9143";"3485";"72,4";3551801
"Severínia";"2020";"17126";"8802";"8324";"105,74";"16546";"580";"96,61";3551900
"Silveiras";"2020";"6204";"3114";"3090";"100,78";"3339";"2865";"53,82";3552007
"Socorro";"2020";"38783";"19178";"19605";"97,82";"27762";"11021";"71,58";3552106
"Sorocaba";"2020";"658547";"322056";"336491";"95,71";"651845";"6702";"98,98";3552205
"Sud Mennucci";"2020";"7713";"3861";"3852";"100,23";"6644";"1069";"86,14";3552304
"Sumaré";"2020";"283212";"140074";"143138";"97,86";"279878";"3334";"98,82";3552403
"Suzanápolis";"2020";"3947";"2008";"1939";"103,56";"2634";"1313";"66,73";3552551
"Suzano";"2020";"291002";"142429";"148573";"95,86";"280758";"10244";"96,48";3552502
"Tabapuã";"2020";"11892";"5953";"5939";"100,24";"11145";"747";"93,72";3552601
"Tabatinga";"2020";"15897";"8120";"7777";"104,41";"14361";"1536";"90,34";3552700
"Taboão da Serra";"2020";"283871";"136294";"147577";"92,35";"283871";"-";"100";3552809
"Taciba";"2020";"6054";"3006";"3048";"98,62";"5320";"734";"87,88";3552908
"Taguaí";"2020";"13319";"6615";"6704";"98,67";"9542";"3777";"71,64";3553005
"Taiaçu";"2020";"6037";"3010";"3027";"99,44";"5629";"408";"93,24";3553104
"Taiúva";"2020";"6278";"3594";"2684";"133,9";"5894";"384";"93,88";3553203
"Tambaú";"2020";"22803";"11283";"11520";"97,94";"20834";"1969";"91,37";3553302
"Tanabi";"2020";"25105";"12520";"12585";"99,48";"23378";"1727";"93,12";3553401
"Tapiraí";"2020";"7699";"3850";"3849";"100,03";"5785";"1914";"75,14";3553500
"Tapiratiba";"2020";"12610";"6193";"6417";"96,51";"11298";"1312";"89,6";3553609
"Taquaral";"2020";"2751";"1382";"1369";"100,95";"2660";"91";"96,69";3553658
"Taquaritinga";"2020";"54499";"26800";"27699";"96,75";"52424";"2075";"96,19";3553708
"Taquarituba";"2020";"23193";"11538";"11655";"99";"21137";"2056";"91,14";3553807
"Taquarivaí";"2020";"5746";"2866";"2880";"99,51";"3337";"2409";"58,08";3553856
"Tarabai";"2020";"7269";"3601";"3668";"98,17";"6834";"435";"94,02";3553906
