local;datahora;casos_acum;obitos_acum
Brasil;2022-11-23;35082036;689272
Brasil;2022-11-24;35104673;689341
Brasil;2022-11-25;35149503;689436
Brasil;2022-11-26;35163004;689468
Brasil;2022-11-27;35168201;689479
Brasil;2022-11-28;35188586;689536
Brasil;2022-11-29;35232625;689665
Brasil;2022-11-30;35266159;689801
Brasil;2022-12-01;35302137;689945
Brasil;2022-12-02;35337546;690074
Brasil;2022-12-03;35361773;690109
Brasil;2022-12-04;35369105;690124
Brasil;2022-12-05;35396191;690229
Brasil;2022-12-06;35452099;690409
Brasil;2022-12-07;35497781;690577
Brasil;2022-12-08;35531716;690677
Brasil;2022-12-09;35531716;690677
Brasil;2022-12-10;35570761;690747
Brasil;2022-12-11;35577538;690754
Brasil;2022-12-12;35643770;691015
Brasil;2022-12-13;35696918;691178
Brasil;2022-12-14;35751411;691449
Brasil;2022-12-15;35809832;691652
Brasil;2022-12-16;35869526;691810
Brasil;2022-12-17;35892110;691863
Brasil;2022-12-18;35901978;691883
Brasil;2022-12-19;35945063;692041
Brasil;2022-12-20;36001760;692280
Brasil;2022-12-21;36044441;692461
Brasil;2022-12-22;36092845;692652
Brasil;2022-12-23;36124337;692743
Brasil;2022-12-24;36124337;692743
Brasil;2022-12-25;36124337;692743
Brasil;2022-12-26;36190389;692969
Brasil;2022-12-27;36226287;693199
Brasil;2022-12-28;36264721;693562
Brasil;2022-12-29;36302089;693733
Brasil;2022-12-30;36331281;693853
Brasil;2022-12-31;36331281;693853
Brasil;2023-01-01;36331281;693853
Brasil;2023-01-02;36362366;693981
Brasil;2023-01-03;36390423;694192
Brasil;2023-01-04;36423138;694411
Brasil;2023-01-05;36450812;694569
Brasil;2023-01-06;36477214;694779
Brasil;2023-01-07;36488386;694806
Brasil;2023-01-08;36490050;694817
Brasil;2023-01-09;36511286;694917
Brasil;2023-01-10;36552432;694985
Brasil;2023-01-11;36578865;695088
Brasil;2023-01-12;36597935;695236
Brasil;2023-01-13;36620371;695314
Brasil;2023-01-14;36624714;695338
Brasil;2023-01-15;36628099;695343
Brasil;2023-01-16;36640787;695410
Brasil;2023-01-17;36665047;695524
Brasil;2023-01-18;36677844;695615
Brasil;2023-01-19;36698875;696087
Brasil;2023-01-20;36712851;696188
Brasil;2023-01-21;36717501;696254
Brasil;2023-01-22;36718053;696257
Brasil;2023-01-23;36730913;696324
Brasil;2023-01-24;36751410;696485
Brasil;2023-01-25;36768677;696603
Brasil;2023-01-26;36780127;696696
Brasil;2023-01-27;36791267;696742
Brasil;2023-01-28;36793778;696757
Brasil;2023-01-29;36794261;696759
Brasil;2023-01-30;36807814;696892
Brasil;2023-01-31;36824580;697074
Brasil;2023-02-01;36837943;697200
Brasil;2023-02-02;36857916;697248
Brasil;2023-02-03;36866658;697345
Brasil;2023-02-04;36868219;697360
Brasil;2023-02-05;36868946;697361
Brasil;2023-02-06;36878774;697439
Brasil;2023-02-07;36887991;697533
Brasil;2023-02-08;36907890;697583
Brasil;2023-02-09;36917623;697620
Brasil;2023-02-10;36930339;697662
Brasil;2023-02-11;36932532;697674
Brasil;2023-02-12;36932830;697674
Brasil;2023-02-13;36953492;697762
Brasil;2023-02-14;36949318;697848
Brasil;2023-02-15;36960888;697894
Brasil;2023-02-16;36970513;698014
Brasil;2023-02-17;36987682;698047
Brasil;2023-02-18;36987682;698047
Brasil;2023-02-19;36987682;698047
Brasil;2023-02-20;36987682;698047
Brasil;2023-02-21;36987682;698047
Brasil;2023-02-22;36997328;698381
Brasil;2023-02-23;37008944;698834
Brasil;2023-02-24;37020531;698915
Brasil;2023-02-25;37023465;698933
Brasil;2023-02-26;37024417;698934
Brasil;2023-02-27;37038230;698993
Brasil;2023-02-28;37052936;699074
Brasil;2023-03-01;37063464;699184
Brasil;2023-03-02;37066791;699230
Brasil;2023-03-03;37076053;699263
Brasil;2023-03-04;37085520;699310
Brasil;2023-03-05;37085520;699310
Brasil;2023-03-06;37085520;699310
Brasil;2023-03-07;37085520;699310
Brasil;2023-03-08;37085520;699310
Brasil;2023-03-09;37085520;699310
Brasil;2023-03-10;37085520;699310
Brasil;2023-03-11;37085520;699310
Brasil;2023-03-12;37085520;699310
Brasil;2023-03-13;37085520;699310
Brasil;2023-03-14;37145514;699634
Brasil;2023-03-15;37145514;699634
Brasil;2023-03-16;37145514;699634
Brasil;2023-03-17;37145514;699634
Brasil;2023-03-18;37145514;699634
Brasil;2023-03-19;37145514;699634
Brasil;2023-03-20;37145514;699634
Brasil;2023-03-21;37204677;699917
Brasil;2023-03-22;37204677;699917
Brasil;2023-03-23;37204677;699917
Brasil;2023-03-24;37204677;699917
Brasil;2023-03-25;37204677;699917
Brasil;2023-03-26;37204677;699917
Brasil;2023-03-27;37204677;699917
Brasil;2023-03-28;37258663;700239
Brasil;2023-03-29;37258663;700239
Brasil;2023-03-30;37258663;700239
Brasil;2023-03-31;37258663;700239
Brasil;2023-04-01;37258663;700239
Brasil;2023-04-02;37258663;700239
Brasil;2023-04-03;37258663;700239
Brasil;2023-04-04;37319254;700556
Brasil;2023-04-05;37319254;700556
Brasil;2023-04-06;37319254;700556
Brasil;2023-04-07;37319254;700556
Brasil;2023-04-08;37319254;700556
Brasil;2023-04-09;37319254;700556
Brasil;2023-04-10;37319254;700556
Brasil;2023-04-11;37358092;700811
Brasil;2023-04-12;37358092;700811
Brasil;2023-04-13;37358092;700811
Brasil;2023-04-14;37358092;700811
Brasil;2023-04-15;37358092;700811
Brasil;2023-04-16;37358092;700811
Brasil;2023-04-17;37358092;700811
Brasil;2023-04-18;37404232;701215
Brasil;2023-04-19;37404232;701215
Brasil;2023-04-20;37404232;701215
Brasil;2023-04-21;37404232;701215
Brasil;2023-04-22;37404232;701215
Brasil;2023-04-23;37404232;701215
Brasil;2023-04-24;37404232;701215
Brasil;2023-04-25;37449418;701494
Brasil;2023-04-26;37449418;701494
Brasil;2023-04-27;37449418;701494
Brasil;2023-04-28;37449418;701494
Brasil;2023-04-29;37449418;701494
Brasil;2023-04-30;37449418;701494
Brasil;2023-05-01;37449418;701494
Brasil;2023-05-02;37487971;701833
Brasil;2023-05-03;37487971;701833
Brasil;2023-05-04;37487971;701833
Brasil;2023-05-05;37487971;701833
Brasil;2023-05-06;37487971;701833
Brasil;2023-05-07;37487971;701833
Brasil;2023-05-08;37487971;701833
Brasil;2023-05-09;37511921;701833
Brasil;2023-05-10;37511921;702116
Brasil;2023-05-11;37511921;702116
Brasil;2023-05-12;37511921;702116
Brasil;2023-05-13;37511921;702116
Brasil;2023-05-14;37511921;702116
Brasil;2023-05-15;37511921;702116
Brasil;2023-05-16;37553337;702421
Brasil;2023-05-17;37553337;702421
Brasil;2023-05-18;37553337;702421
Brasil;2023-05-19;37553337;702421
Brasil;2023-05-20;37553337;702421
Brasil;2023-05-21;37553337;702421
Brasil;2023-05-22;37553337;702421
Brasil;2023-05-23;37579028;702664
Brasil;2023-05-24;37579028;702664
Brasil;2023-05-25;37579028;702664
Brasil;2023-05-26;37579028;702664
Brasil;2023-05-27;37579028;702664
Brasil;2023-05-28;37579028;702664
Brasil;2023-05-29;37579028;702664
Brasil;2023-05-30;37601257;702907
Brasil;2023-05-31;37601257;702907
Brasil;2023-06-01;37601257;702907
Brasil;2023-06-02;37601257;702907
Brasil;2023-06-03;37601257;702907
Brasil;2023-06-04;37601257;702907
Brasil;2023-06-05;37601257;702907
Brasil;2023-06-06;37625916;703291
Brasil;2023-06-07;37625916;703291
Brasil;2023-06-08;37625916;703291
Brasil;2023-06-09;37625916;703291
Brasil;2023-06-10;37625916;703291
Brasil;2023-06-11;37625916;703291
Brasil;2023-06-12;37625916;703291
Brasil;2023-06-13;37639324;703399
Brasil;2023-06-14;37639324;703399
Brasil;2023-06-15;37639324;703399
Brasil;2023-06-16;37639324;703399
Brasil;2023-06-17;37639324;703399
Brasil;2023-06-18;37639324;703399
Brasil;2023-06-19;37655917;703719
Brasil;2023-06-20;37655917;703719
Brasil;2023-06-21;37655917;703719
Brasil;2023-06-22;37655917;703719
Brasil;2023-06-23;37655917;703719
Brasil;2023-06-24;37655917;703719
Brasil;2023-06-25;37655917;703719
Brasil;2023-06-26;37655917;703719
Brasil;2023-06-27;37671420;703964
Brasil;2023-06-28;37671420;703964
Brasil;2023-06-29;37671420;703964
Brasil;2023-06-30;37671420;703964
Brasil;2023-07-01;37671420;703964
Brasil;2023-07-02;37671420;703964
Brasil;2023-07-03;37671420;703964
Brasil;2023-07-04;37671420;703964
Brasil;2023-07-05;37682660;704159
Brasil;2023-07-06;37682660;704159
Brasil;2023-07-07;37682660;704159
Brasil;2023-07-08;37682660;704159
Brasil;2023-07-09;37682660;704159
Brasil;2023-07-10;37682660;704159
Brasil;2023-07-11;37693506;704320
Brasil;2023-07-12;37693506;704320
Brasil;2023-07-13;37693506;704320
Brasil;2023-07-14;37693506;704320
Brasil;2023-07-15;37693506;704320
Brasil;2023-07-16;37693506;704320
Brasil;2023-07-17;37693506;704320
Brasil;2023-07-18;37704598;704488
Brasil;2023-07-19;37704598;704488
Brasil;2023-07-20;37704598;704488
Brasil;2023-07-21;37704598;704488
Brasil;2023-07-22;37704598;704488
Brasil;2023-07-23;37704598;704488
Brasil;2023-07-24;37704598;704488
Brasil;2023-07-25;37717062;704659
Brasil;2023-07-26;37717062;704659
Brasil;2023-07-27;37717062;704659
Brasil;2023-07-28;37717062;704659
Brasil;2023-07-29;37717062;704659
Brasil;2023-07-30;37717062;704659
Brasil;2023-07-31;37717062;704659
Brasil;2023-08-01;37728415;704794
Brasil;2023-08-02;37728415;704794
Brasil;2023-08-03;37728415;704794
Brasil;2023-08-04;37728415;704794
Brasil;2023-08-05;37728415;704794
Brasil;2023-08-06;37728415;704794
Brasil;2023-08-07;37728415;704794
Brasil;2023-08-08;37739057;704897
Brasil;2023-08-09;37739057;704897
Brasil;2023-08-10;37739057;704897
Brasil;2023-08-11;37739057;704897
Brasil;2023-08-12;37739057;704897
Brasil;2023-08-13;37739057;704897
Brasil;2023-08-14;37739057;704897
Brasil;2023-08-15;37750389;705054
Brasil;2023-08-16;37750389;705054
Brasil;2023-08-17;37750389;705054
Brasil;2023-08-18;37750389;705054
Brasil;2023-08-19;37750389;705054
Brasil;2023-08-20;37750389;705054
Brasil;2023-08-21;37750389;705054
Brasil;2023-08-22;37758545;705170
Brasil;2023-08-23;37758545;705170
Brasil;2023-08-24;37758545;705170
Brasil;2023-08-25;37758545;705170
Brasil;2023-08-26;37758545;705170
Brasil;2023-08-27;37758545;705170
Brasil;2023-08-28;37758545;705170
Brasil;2023-08-29;37771706;705289
Brasil;2023-08-30;37771706;705289
Brasil;2023-08-31;37771706;705289
Brasil;2023-09-01;37771706;705289
Brasil;2023-09-02;37771706;705289
Brasil;2023-09-03;37771706;705289
Brasil;2023-09-04;37771706;705289
Brasil;2023-09-05;37783855;705289
Brasil;2023-09-06;37783855;705289
Brasil;2023-09-07;37783855;705289
Brasil;2023-09-08;37783855;705289
Brasil;2023-09-09;37783855;705289
Brasil;2023-09-10;37783855;705289
Brasil;2023-09-11;37783855;705289
Brasil;2023-09-12;37789040;705313
Brasil;2023-09-13;37789040;705313
Brasil;2023-09-14;37789040;705313
Brasil;2023-09-15;37789040;705313
Brasil;2023-09-16;37789040;705313
Brasil;2023-09-17;37789040;705313
Brasil;2023-09-18;37789040;705313
Brasil;2023-09-19;37778122;705645
Brasil;2023-09-20;37778122;705645
Brasil;2023-09-21;37778122;705645
Brasil;2023-09-22;37778122;705645
Brasil;2023-09-23;37778122;705645
Brasil;2023-09-24;37778122;705645
Brasil;2023-09-25;37796956;705775
Brasil;2023-09-26;37796956;705775
Brasil;2023-09-27;37796956;705775
Brasil;2023-09-28;37796956;705775
Brasil;2023-09-29;37796956;705775
Brasil;2023-09-30;37796956;705775
Brasil;2023-10-01;37796956;705775
Brasil;2023-10-02;37796956;705775
Brasil;2023-10-03;37827912;705962
Brasil;2023-10-04;37827912;705962
Brasil;2023-10-05;37827912;705962
Brasil;2023-10-06;37827912;705962
Brasil;2023-10-07;37827912;705962
Brasil;2023-10-08;37827912;705962
Brasil;2023-10-09;37827912;705962
Brasil;2023-10-10;37849919;706142
Brasil;2023-10-11;37849919;706142
Brasil;2023-10-12;37849919;706142
Brasil;2023-10-13;37849919;706142
Brasil;2023-10-14;37849919;706142
Brasil;2023-10-15;37849919;706142
Brasil;2023-10-16;37849919;706142
Brasil;2023-10-17;37858614;706276
Brasil;2023-10-18;37858614;706276
Brasil;2023-10-19;37858614;706276
Brasil;2023-10-20;37858614;706276
Brasil;2023-10-21;37858614;706276
Brasil;2023-10-22;37858614;706276
Brasil;2023-10-23;37858614;706276
Brasil;2023-10-24;37905713;706531
Brasil;2023-10-25;37905713;706531
Brasil;2023-10-26;37905713;706531
Brasil;2023-10-27;37905713;706531
Brasil;2023-10-28;37905713;706531
Brasil;2023-10-29;37905713;706531
Brasil;2023-10-30;37905713;706531
Brasil;2023-10-31;37949944;706808
Brasil;2023-11-01;37949944;706808
Brasil;2023-11-02;37949944;706808
Brasil;2023-11-03;37949944;706808
Brasil;2023-11-04;37949944;706808
Brasil;2023-11-05;37949944;706808
Brasil;2023-11-06;37949944;706808
Brasil;2023-11-07;37994356;706986
Brasil;2023-11-08;37994356;706986
Brasil;2023-11-09;37994356;706986
Brasil;2023-11-10;37994356;706986
Brasil;2023-11-11;37994356;706986
Brasil;2023-11-12;37994356;706986
Brasil;2023-11-13;37994356;706986
Brasil;2023-11-14;38022277;707286
Brasil;2023-11-15;38022277;707286
Brasil;2023-11-16;38022277;707286
Brasil;2023-11-17;38022277;707286
Brasil;2023-11-18;38022277;707286
