"nome_munic";"codigo_ibge";"dia";"mes";"datahora";"casos";"casos_novos";"casos_pc";"casos_mm7d";"obitos";"obitos_novos";"obitos_pc";"obitos_mm7d";"letalidade";"nome_ra";"cod_ra";"nome_drs";"cod_drs";"pop";"pop_60";"area";"map_leg";"map_leg_s";"latitude";"longitude";"semana_epidem"
"Ferraz de Vasconcelos";3515707;14;3;2020-03-14;1;0;0,51803540253941;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;11
"Santana de Parnaíba";3547304;14;3;2020-03-14;1;0;0,723945211826369;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;11
"São Paulo";3550308;14;3;2020-03-14;62;18;0,522340151276448;7,14285714285714;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<75";"4";-23,5329;-46,6395;11
"Carapicuíba";3510609;15;3;2020-03-15;1;0;0,253422470463611;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Ferraz de Vasconcelos";3515707;15;3;2020-03-15;1;0;0,51803540253941;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Santana de Parnaíba";3547304;15;3;2020-03-15;1;0;0,723945211826369;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
"São Paulo";3550308;15;3;2020-03-15;62;0;0,522340151276448;6,71428571428571;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<75";"4";-23,5329;-46,6395;12
"Carapicuíba";3510609;16;3;2020-03-16;1;0;0,253422470463611;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Ferraz de Vasconcelos";3515707;16;3;2020-03-16;1;0;0,51803540253941;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Mauá";3529401;16;3;2020-03-16;1;1;0,217328940391018;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;460132;57797;6191;"<10";"7";-23,6677;-46,4613;12
"Santana de Parnaíba";3547304;16;3;2020-03-16;1;0;0,723945211826369;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
"Santo André";3547809;16;3;2020-03-16;1;1;0,144119838528133;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;693867;123293;17578;"<10";"7";-23,6737;-46,5432;12
"São Bernardo do Campo";3548708;16;3;2020-03-16;1;1;0,123139667473642;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;812086;122274;40953;"<10";"7";-23,6914;-46,5646;12
"São Caetano do Sul";3548807;16;3;2020-03-16;1;1;0,661183253550554;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;151244;34932;1533;"<10";"7";-23,6229;-46,5548;12
"São Paulo";3550308;16;3;2020-03-16;145;83;1,22160196669492;18,5714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;"<150";"2";-23,5329;-46,6395;12
"Carapicuíba";3510609;17;3;2020-03-17;1;0;0,253422470463611;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Ferraz de Vasconcelos";3515707;17;3;2020-03-17;1;0;0,51803540253941;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Guarulhos";3518800;17;3;2020-03-17;1;1;0,0740041812362398;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;1351275;162662;31868;"<10";"7";-23,4538;-46,5333;12
"Mauá";3529401;17;3;2020-03-17;1;0;0,217328940391018;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;460132;57797;6191;"<10";"7";-23,6677;-46,4613;12
"Santana de Parnaíba";3547304;17;3;2020-03-17;1;0;0,723945211826369;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
