codigo_ibge;nome_munic;nome_ra;cod_ra;pop;area
3554508;Tietê;RA de Sorocaba;13;41073;404.4
3554656;Torre de Pedra;RA de Sorocaba;13;2320;71.35
3557006;Votorantim;RA de Sorocaba;13;119824;183.52
3500303;Aguaí;RA de Campinas;4;35608;474.55
3500402;Águas da Prata;RA de Campinas;4;7797;142.67
3500501;Águas de Lindóia;RA de Campinas;4;18374;60.13
3500600;Águas de São Pedro;RA de Campinas;4;3122;3.61
3501608;Americana;RA de Campinas;4;233458;133.91
3501905;Amparo;RA de Campinas;4;69639;445.32
3502002;Analândia;RA de Campinas;4;4850;325.95
3503307;Araras;RA de Campinas;4;131057;644.83
3503802;Artur Nogueira;RA de Campinas;4;52609;178.03
3504107;Atibaia;RA de Campinas;4;139606;478.52
3507100;Bom Jesus dos Perdões;RA de Campinas;4;24291;108.37
3507605;Bragança Paulista;RA de Campinas;4;163980;512.58
3507902;Brotas;RA de Campinas;4;23850;1101.37
3508405;Cabreúva;RA de Campinas;4;49430;260.23
3508702;Caconde;RA de Campinas;4;18854;468.21
3509502;Campinas;RA de Campinas;4;1175501;794.57
3509601;Campo Limpo Paulista;RA de Campinas;4;82842;79.4
3510401;Capivari;RA de Campinas;4;54231;322.88
3510807;Casa Branca;RA de Campinas;4;29462;864.23
3511706;Charqueada;RA de Campinas;4;16933;175.85
3512209;Conchal;RA de Campinas;4;27284;182.79
3512407;Cordeirópolis;RA de Campinas;4;24356;137.58
3512704;Corumbataí;RA de Campinas;4;3962;278.62
3512803;Cosmópolis;RA de Campinas;4;71282;154.67
3513900;Divinolândia;RA de Campinas;4;10886;223.75
3514908;Elias Fausto;RA de Campinas;4;17346;202.36
3515152;Engenheiro Coelho;RA de Campinas;4;20535;109.94
3515186;Espírito Santo do Pinhal;RA de Campinas;4;42573;389.24
3557303;Estiva Gerbi;RA de Campinas;4;11079;74.14
3519055;Holambra;RA de Campinas;4;14493;65.58
3519071;Hortolândia;RA de Campinas;4;230268;62.42
3520509;Indaiatuba;RA de Campinas;4;242868;311.55
3521101;Ipeúna;RA de Campinas;4;7571;190.01
3521408;Iracemápolis;RA de Campinas;4;23654;115.12
3522604;Itapira;RA de Campinas;4;71500;518.42
3523404;Itatiba;RA de Campinas;4;117916;322.28
3523602;Itirapina;RA de Campinas;4;17162;564.6
3523800;Itobi;RA de Campinas;4;7609;138.99
3524006;Itupeva;RA de Campinas;4;59159;200.82
3524709;Jaguariúna;RA de Campinas;4;54848;141.39
3525201;Jarinu;RA de Campinas;4;29820;207.55
3525508;Joanópolis;RA de Campinas;4;12666;374.29
3525904;Jundiaí;RA de Campinas;4;407016;431.21
3526704;Leme;RA de Campinas;4;100975;402.87
3526902;Limeira;RA de Campinas;4;296300;580.71
3527009;Lindóia;RA de Campinas;4;7722;48.76
3527306;Louveira;RA de Campinas;4;48268;55.13
3530508;Mococa;RA de Campinas;4;66753;855.16
3530706;Mogi Guaçu;RA de Campinas;4;148325;812.75
3530805;Mogi Mirim;RA de Campinas;4;90439;497.71
3530904;Mombuca;RA de Campinas;4;3332;133.7
3531209;Monte Alegre do Sul;RA de Campinas;4;7749;110.31
3531803;Monte Mor;RA de Campinas;4;59614;240.57
3532009;Morungaba;RA de Campinas;4;13247;146.75
3532405;Nazaré Paulista;RA de Campinas;4;18445;326.25
3533403;Nova Odessa;RA de Campinas;4;58039;73.79
3536505;Paulínia;RA de Campinas;4;105037;138.78
3536802;Pedra Bela;RA de Campinas;4;5964;158.59
3537107;Pedreira;RA de Campinas;4;46548;108.82
3538204;Pinhalzinho;RA de Campinas;4;14755;154.53
3538600;Piracaia;RA de Campinas;4;26287;385.57
3538709;Piracicaba;RA de Campinas;4;389873;1378.07
3539301;Pirassununga;RA de Campinas;4;73706;727.12
3542107;Rafard;RA de Campinas;4;8976;121.65
3543907;Rio Claro;RA de Campinas;4;201212;498.42
3544004;Rio das Pedras;RA de Campinas;4;34416;226.66
3545159;Saltinho;RA de Campinas;4;7860;99.74
3545803;Santa Bárbara d'Oeste;RA de Campinas;4;188745;271.03
3546207;Santa Cruz da Conceição;RA de Campinas;4;4349;150.13
3546306;Santa Cruz das Palmeiras;RA de Campinas;4;33729;295.34
3546702;Santa Gertrudes;RA de Campinas;4;26189;98.29
3547007;Santa Maria da Serra;RA de Campinas;4;6141;252.62
3548005;Santo Antônio de Posse;RA de Campinas;4;22849;154.13
3548104;Santo Antônio do Jardim;RA de Campinas;4;5826;109.96
3549102;São João da Boa Vista;RA de Campinas;4;87340;516.4
3549706;São José do Rio Pardo;RA de Campinas;4;53206;419.68
3550407;São Pedro;RA de Campinas;4;34208;611.28
3550803;São Sebastião da Grama;RA de Campinas;4;11936;252.41
3551603;Serra Negra;RA de Campinas;4;27440;203.73
3552106;Socorro;RA de Campinas;4;38783;449.03
3552403;Sumaré;RA de Campinas;4;283212;153.47
3553302;Tambaú;RA de Campinas;4;22803;561.79
3553609;Tapiratiba;RA de Campinas;4;12610;221.89
3554706;Torrinha;RA de Campinas;4;9713;315.27
3554953;Tuiuti;RA de Campinas;4;6557;126.73
3556206;Valinhos;RA de Campinas;4;124742;148.54
3556354;Vargem;RA de Campinas;4;10000;142.6
3556404;Vargem Grande do Sul;RA de Campinas;4;41501;267.18
3556503;Várzea Paulista;RA de Campinas;4;120535;35.12
3556701;Vinhedo;RA de Campinas;4;77521;81.6
3501004;Altinópolis;RA de Ribeirão Preto;11;15553;928.96
3505609;Barrinha;RA de Ribeirão Preto;11;32338;146.03
3507803;Brodowski;RA de Ribeirão Preto;11;23943;278.46
3509403;Cajuru;RA de Ribeirão Preto;11;25663;660.09
3510906;Cássia dos Coqueiros;RA de Ribeirão Preto;11;2495;191.68
3513108;Cravinhos;RA de Ribeirão Preto;11;34428;311.42
3514601;Dumont;RA de Ribeirão Preto;11;9570;111.38
3518602;Guariba;RA de Ribeirão Preto;11;39021;270.29
3518859;Guatapará;RA de Ribeirão Preto;11;7440;413.57
3524303;Jaboticabal;RA de Ribeirão Preto;11;74221;706.6
3525102;Jardinópolis;RA de Ribeirão Preto;11;42893;501.87
3527603;Luís Antônio;RA de Ribeirão Preto;11;14166;598.26
3531308;Monte Alto;RA de Ribeirão Preto;11;48405;346.95
3539509;Pitangueiras;RA de Ribeirão Preto;11;38584;430.64
3540200;Pontal;RA de Ribeirão Preto;11;49283;356.37
3540903;Pradópolis;RA de Ribeirão Preto;11;20907;167.38
3543402;Ribeirão Preto;RA de Ribeirão Preto;11;683777;650.92
3546256;Santa Cruz da Esperança;RA de Ribeirão Preto;11;2077;148.06
3547601;Santa Rosa de Viterbo;RA de Ribeirão Preto;11;25604;288.58
3547908;Santo Antônio da Alegria;RA de Ribeirão Preto;11;6637;310.31
3550902;São Simão;RA de Ribeirão Preto;11;14847;617.25
3551405;Serra Azul;RA de Ribeirão Preto;11;12282;283.14
3551504;Serrana;RA de Ribeirão Preto;11;44434;126.05
3551702;Sertãozinho;RA de Ribeirão Preto;11;122355;403.09
3553658;Taquaral;RA de Ribeirão Preto;11;2751;53.89
3500709;Agudos;RA de Bauru;3;36134;966.71
3503406;Arealva;RA de Bauru;3;8196;504.97
3504305;Avaí;RA de Bauru;3;5288;540.69
3504701;Balbinos;RA de Bauru;3;3704;91.64
3505203;Bariri;RA de Bauru;3;33993;444.41
3505302;Barra Bonita;RA de Bauru;3;34914;150.12
3506003;Bauru;RA de Bauru;3;364225;667.68
3506805;Bocaina;RA de Bauru;3;12135;363.93
3507308;Boracéia;RA de Bauru;3;4759;122.11
3507456;Borebi;RA de Bauru;3;2579;347.99
3508306;Cabrália Paulista;RA de Bauru;3;4308;239.97
3508801;Cafelândia;RA de Bauru;3;17244;920.28
3514106;Dois Córregos;RA de Bauru;3;26972;632.97
3514502;Duartina;RA de Bauru;3;11975;264.56
3517000;Getulina;RA de Bauru;3;10847;676.76
3517307;Guaimbê;RA de Bauru;3;5534;217.81
3517208;Guaiçara;RA de Bauru;3;11947;277.15
3518107;Guarantã;RA de Bauru;3;6477;461.75
3519105;Iacanga;RA de Bauru;3;11306;547.39
3520004;Igaraçu do Tietê;RA de Bauru;3;24135;97.75
3522000;Itaju;RA de Bauru;3;3654;230.36
3522901;Itapuí;RA de Bauru;3;13779;140.02
3525300;Jaú;RA de Bauru;3;147505;687.1
3526803;Lençóis Paulista;RA de Bauru;3;66343;809.54
3527108;Lins;RA de Bauru;3;75087;570.06
3527504;Lucianópolis;RA de Bauru;3;2261;189.54
3528007;Macatuba;RA de Bauru;3;16932;224.51
3529807;Mineiros do Tietê;RA de Bauru;3;12597;213.24
3536570;Paulistânia;RA de Bauru;3;1769;256.18
3536703;Pederneiras;RA de Bauru;3;45570;728.74
3538907;Pirajuí;RA de Bauru;3;23259;823.76
3539400;Piratininga;RA de Bauru;3;13213;402.41
3540101;Pongaí;RA de Bauru;3;3351;183.4
3541109;Presidente Alves;RA de Bauru;3;4020;286.64
3541604;Promissão;RA de Bauru;3;39667;779.2
3542503;Reginópolis;RA de Bauru;3;7215;410.41
3544608;Sabino;RA de Bauru;3;5468;305.29
3555505;Ubirajara;RA de Bauru;3;4663;282.18
3555901;Uru;RA de Bauru;3;1207;146.9
3500204;Adolfo;RA de São José do Rio Preto;14;3447;211.06
3501202;Álvares Florence;RA de São José do Rio Preto;14;3621;362.41
3501806;Américo de Campos;RA de São José do Rio Preto;14;5736;252.88
3502606;Aparecida d'Oeste;RA de São José do Rio Preto;14;4132;179
3503703;Ariranha;RA de São José do Rio Preto;14;9320;132.62
3503950;Aspásia;RA de São José do Rio Preto;14;1765;69.37
3504602;Bady Bassitt;RA de São José do Rio Preto;14;16329;110.37
3504800;Bálsamo;RA de São José do Rio Preto;14;8524;149.88
3510708;Cardoso;RA de São José do Rio Preto;14;11721;639.25
3511102;Catanduva;RA de São José do Rio Preto;14;117206;290.6
3511201;Catiguá;RA de São José do Rio Preto;14;7529;148.39
3511300;Cedral;RA de São José do Rio Preto;14;8836;197.84
3512902;Cosmorama;RA de São José do Rio Preto;14;6997;441.68
3513850;Dirce Reis;RA de São José do Rio Preto;14;1717;88.13
3514205;Dolcinópolis;RA de São José do Rio Preto;14;2040;77.94
3514924;Elisiário;RA de São José do Rio Preto;14;3499;93.98
3515202;Estrela d'Oeste;RA de São José do Rio Preto;14;8094;296.28
3515509;Fernandópolis;RA de São José do Rio Preto;14;66112;549.8
3515905;Floreal;RA de São José do Rio Preto;14;2856;204.24
3517505;Guapiaçu;RA de São José do Rio Preto;14;20848;325.13
3518008;Guarani d'Oeste;RA de São José do Rio Preto;14;1922;85.7
3519402;Ibirá;RA de São José do Rio Preto;14;12059;271.91
3519808;Icém;RA de São José do Rio Preto;14;8032;362.36
3520707;Indiaporã;RA de São José do Rio Preto;14;3854;279.61
3521150;Ipiguá;RA de São José do Rio Preto;14;5231;136.03
3521507;Irapuã;RA de São José do Rio Preto;14;7734;257.61
3521903;Itajobi;RA de São José do Rio Preto;14;14614;502.07
3524501;Jaci;RA de São José do Rio Preto;14;6969;145.13
3524808;Jales;RA de São José do Rio Preto;14;47254;368.57
3525706;José Bonifácio;RA de São José do Rio Preto;14;35981;860.2
3528106;Macaubal;RA de São José do Rio Preto;14;7749;248.09
3528205;Macedônia;RA de São José do Rio Preto;14;3574;327.57
3528304;Magda;RA de São José do Rio Preto;14;3088;312.28
3528858;Marapoama;RA de São José do Rio Preto;14;2906;111.27
3529104;Marinópolis;RA de São José do Rio Preto;14;2097;77.83
3529500;Mendonça;RA de São José do Rio Preto;14;5043;195.15
3529609;Meridiano;RA de São José do Rio Preto;14;3739;228.2
3529658;Mesópolis;RA de São José do Rio Preto;14;1893;148.64
3530003;Mira Estrela;RA de São José do Rio Preto;14;2939;216.83
3530300;Mirassol;RA de São José do Rio Preto;14;57824;243.23
3530409;Mirassolândia;RA de São José do Rio Preto;14;4702;166.13
3531407;Monte Aprazível;RA de São José do Rio Preto;14;23458;495.56
3531001;Monções;RA de São José do Rio Preto;14;2175;104.35
3532504;Neves Paulista;RA de São José do Rio Preto;14;8620;219.05
3532603;Nhandeara;RA de São José do Rio Preto;14;10782;436.16
3532702;Nipoã;RA de São José do Rio Preto;14;4969;137.61
3532801;Nova Aliança;RA de São José do Rio Preto;14;6450;217.52
3532843;Nova Canaã Paulista;RA de São José do Rio Preto;14;1937;124.47
3533007;Nova Granada;RA de São José do Rio Preto;14;20918;531.8
3533254;Novais;RA de São José do Rio Preto;14;5509;117.77
3533502;Novo Horizonte;RA de São José do Rio Preto;14;38954;931.74
3534005;Onda Verde;RA de São José do Rio Preto;14;4225;242.95
3534203;Orindiúva;RA de São José do Rio Preto;14;6866;247.38
3534757;Ouroeste;RA de São José do Rio Preto;14;9777;288.65
3535002;Palestina;RA de São José do Rio Preto;14;12160;697.7
3535101;Palmares Paulista;RA de São José do Rio Preto;14;12997;82.13
3535200;Palmeira d'Oeste;RA de São José do Rio Preto;14;9130;318.74
3535705;Paraíso;RA de São José do Rio Preto;14;6269;155.19
3535903;Paranapuã;RA de São José do Rio Preto;14;3892;140.35
3536257;Parisi;RA de São José do Rio Preto;14;2054;84.74
3536604;Paulo de Faria;RA de São José do Rio Preto;14;8521;737.99
3536901;Pedranópolis;RA de São José do Rio Preto;14;2422;260.1
3538105;Pindorama;RA de São José do Rio Preto;14;16255;184.83
3539608;Planalto;RA de São José do Rio Preto;14;5167;289.83
3539905;Poloni;RA de São José do Rio Preto;14;5667;135.12
3540259;Pontalinda;RA de São José do Rio Preto;14;4487;209.53
3540309;Pontes Gestal;RA de São José do Rio Preto;14;2528;217.51
3540408;Populina;RA de São José do Rio Preto;14;3995;315.94
3540804;Potirendaba;RA de São José do Rio Preto;14;16605;342.49
3544202;Riolândia;RA de São José do Rio Preto;14;11431;631.9
3544509;Rubinéia;RA de São José do Rio Preto;14;2989;242.88
3544806;Sales;RA de São José do Rio Preto;14;6050;308.56
3545605;Santa Adélia;RA de São José do Rio Preto;14;14892;330.27
3545704;Santa Albertina;RA de São José do Rio Preto;14;5672;272.69
3546108;Santa Clara d'Oeste;RA de São José do Rio Preto;14;2006;183.46
3546603;Santa Fé do Sul;RA de São José do Rio Preto;14;30804;206.54
3547403;Santa Rita d'Oeste;RA de São José do Rio Preto;14;2404;209.8
3547650;Santa Salete;RA de São José do Rio Preto;14;1440;79.19
3547205;Santana da Ponte Pensa;RA de São José do Rio Preto;14;1509;129.89
3549003;São Francisco;RA de São José do Rio Preto;14;2677;75.58
3549201;São João das Duas Pontes;RA de São José do Rio Preto;14;2476;129.46
3549805;São José do Rio Preto;RA de São José do Rio Preto;14;447924;431.94
3551306;Sebastianópolis do Sul;RA de São José do Rio Preto;14;3293;167.85
3552601;Tabapuã;RA de São José do Rio Preto;14;11892;345.79
3553401;Tanabi;RA de São José do Rio Preto;14;25105;747.22
3554904;Três Fronteiras;RA de São José do Rio Preto;14;5547;151.59
3555307;Turmalina;RA de São José do Rio Preto;14;1805;147.8
3555356;Ubarana;RA de São José do Rio Preto;14;6066;209.86
3555604;Uchoa;RA de São José do Rio Preto;14;9683;252.43
