datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_28d;internacoes_28d_l;internacoes_28v28;pacientes_uti_ultimo_dia;total_covid_uti_ultimo_dia;ocupacao_leitos_ultimo_dia;internacoes_ultimo_dia;pacientes_enf_mm7d;total_covid_enf_mm7d;pacientes_enf_ultimo_dia;total_covid_enf_ultimo_dia
2021-09-23;DRS 15 São José do Rio Preto;111,00;424,57;26,14;1570421;27,04;809;1578;-48,73;108;423;25,53;26;71,71;557,14;69;552
2021-09-23;DRS 16 Sorocaba;73,00;308,43;23,67;2461760;12,53;528;964;-45,23;70;281;24,91;17;71,57;549,14;72;548
2021-09-23;DRS 17 Taubaté;104,00;406,29;25,60;2489629;16,32;915;1422;-35,65;98;401;24,44;25;91,86;696,14;92;689
2021-09-23;Estado de São Paulo;2453,86;7722,86;31,77;44639899;17,30;17552;25272;-30,55;2430;7570;32,10;625;2660,43;11988,14;2634;11869
2021-09-24;DRS 01 Grande São Paulo;1360,86;3522,00;38,64;21138247;16,66;9817;11723;-16,26;1390;3446;40,34;343;1629,57;5337,86;1524;5123
2021-09-24;DRS 02 Araçatuba;26,57;148,57;17,88;764041;19,45;237;446;-46,86;32;149;21,48;13;34,71;348,71;36;346
2021-09-24;DRS 03 Araraquara;16,00;165,00;9,70;991435;16,64;199;501;-60,28;14;159;8,81;4;32,00;278,43;31;267
2021-09-24;DRS 04 Baixada Santista;64,86;291,29;22,27;1831884;15,90;333;521;-36,08;56;290;19,31;8;62,43;379,71;68;372
2021-09-24;DRS 05 Barretos;17,43;112,00;15,56;425090;26,35;112;376;-70,21;17;112;15,18;2;13,43;167,71;12;168
2021-09-24;DRS 06 Bauru;66,57;265,71;25,05;1741281;15,26;444;773;-42,56;68;247;27,53;21;69,29;564,43;61;528
2021-09-24;DRS 07 Campinas;285,86;836,86;34,16;4562125;18,34;1806;3057;-40,92;268;821;32,64;67;250,71;1119,86;258;1111
2021-09-24;DRS 08 Franca;51,29;142,00;36,12;696336;20,39;206;274;-24,82;49;142;34,51;15;25,57;194,43;29;194
2021-09-24;DRS 09 Marília;39,86;236,00;16,89;1109670;21,27;324;709;-54,30;41;242;16,94;14;51,00;391,14;64;387
2021-09-24;DRS 10 Piracicaba;55,43;283,14;19,58;1539600;18,39;491;859;-42,84;50;265;18,87;19;45,29;312,14;47;322
2021-09-24;DRS 11 Presidente Prudente;42,29;135,43;31,23;752260;18,00;330;488;-32,38;44;136;32,35;13;61,71;256,29;71;260
2021-09-24;DRS 12 Registro;15,00;44,00;34,09;278754;15,78;64;69;-7,25;15;44;34,09;2;6,14;48,00;6;48
2021-09-24;DRS 13 Ribeirão Preto;72,86;223,43;32,61;1477530;15,12;505;936;-46,05;70;223;31,39;13;77,14;307,29;65;332
2021-09-24;DRS 14 São João da Boa Vista;38,57;125,71;30,68;809836;15,52;283;410;-30,98;42;126;33,33;11;34,43;396,00;36;404
2021-09-24;DRS 15 São José do Rio Preto;107,29;424,00;25,30;1570421;27,00;800;1540;-48,05;107;423;25,30;29;72,43;555,00;78;552
2021-09-24;DRS 16 Sorocaba;72,00;302,29;23,82;2461760;12,28;523;943;-44,54;63;288;21,88;16;72,14;554,14;74;580
2021-09-24;DRS 17 Taubaté;103,86;403,43;25,74;2489629;16,20;907;1396;-35,03;101;387;26,10;32;88,14;692,14;89;654
2021-09-24;Estado de São Paulo;2436,57;7660,86;31,81;44639899;17,16;17381;25021;-30,53;2427;7500;32,36;622;2626,14;11903,29;2549;11648
2021-09-25;DRS 01 Grande São Paulo;1347,00;3505,71;38,42;21138247;16,58;9746;11674;-16,52;1325;3469;38,20;313;1596,86;5298,29;1499;5230
2021-09-25;DRS 02 Araçatuba;28,29;147,14;19,23;764041;19,26;244;434;-43,78;34;149;22,82;14;34,43;348,71;34;346
2021-09-25;DRS 03 Araraquara;16,14;161,86;9,97;991435;16,33;186;497;-62,58;19;159;11,95;6;30,29;277,00;26;278
2021-09-25;DRS 04 Baixada Santista;63,29;288,57;21,93;1831884;15,75;322;521;-38,20;61;290;21,03;6;60,00;376,86;49;372
2021-09-25;DRS 05 Barretos;17,43;110,71;15,74;425090;26,04;115;364;-68,41;19;103;18,45;9;13,29;167,57;14;168
2021-09-25;DRS 06 Bauru;65,57;262,00;25,03;1741281;15,05;435;764;-43,06;62;258;24,03;14;67,43;553,86;57;535
2021-09-25;DRS 07 Campinas;282,71;834,57;33,87;4562125;18,29;1796;3017;-40,47;259;836;30,98;57;250,14;1114,14;256;1101
2021-09-25;DRS 08 Franca;51,71;142,00;36,42;696336;20,39;207;270;-23,33;52;142;36,62;7;26,00;194,43;31;194
2021-09-25;DRS 09 Marília;39,29;235,43;16,69;1109670;21,22;332;685;-51,53;37;233;15,88;13;52,00;391,86;64;397
2021-09-25;DRS 10 Piracicaba;53,71;279,29;19,23;1539600;18,14;487;837;-41,82;47;275;17,09;17;45,29;312,29;47;312
2021-09-25;DRS 11 Presidente Prudente;42,43;135,71;31,27;752260;18,04;329;479;-31,32;46;137;33,58;12;63,43;257,14;66;263
2021-09-25;DRS 12 Registro;14,57;44,00;33,11;278754;15,78;62;66;-6,06;13;44;29,55;0;6,00;48,00;4;48
2021-09-25;DRS 13 Ribeirão Preto;70,71;222,43;31,79;1477530;15,05;501;919;-45,48;61;221;27,60;14;74,86;308,86;68;331
2021-09-25;DRS 14 São João da Boa Vista;39,14;125,57;31,17;809836;15,51;284;394;-27,92;42;125;33,60;10;34,29;397,29;38;401
2021-09-25;DRS 15 São José do Rio Preto;106,14;423,57;25,06;1570421;26,97;796;1509;-47,25;100;423;23,64;36;72,00;552,29;66;532
2021-09-25;DRS 16 Sorocaba;70,86;295,00;24,02;2461760;11,98;501;926;-45,90;66;281;23,49;11;71,86;554,14;69;548
2021-09-25;DRS 17 Taubaté;103,00;399,14;25,81;2489629;16,03;882;1383;-36,23;102;388;26,29;23;86,43;679,00;89;659
2021-09-25;Estado de São Paulo;2412,00;7612,71;31,68;44639899;17,05;17225;24739;-30,37;2345;7533;31,13;562;2584,57;11831,71;2477;11715
2021-09-26;DRS 01 Grande São Paulo;1356,14;3476,86;39,00;21138247;16,45;9752;11645;-16,26;1353;3428;39,47;369;1558,86;5269,29;1414;5132
2021-09-26;DRS 02 Araçatuba;29,71;145,29;20,45;764041;19,02;241;418;-42,34;32;136;23,53;2;34,71;349,00;30;348
2021-09-26;DRS 03 Araraquara;16,29;160,29;10,16;991435;16,17;176;495;-64,44;18;159;11,32;4;28,71;275,71;21;271
2021-09-26;DRS 04 Baixada Santista;62,14;288,57;21,53;1831884;15,75;311;514;-39,49;59;289;20,42;4;60,14;376,43;52;376
2021-09-26;DRS 05 Barretos;17,14;109,43;15,66;425090;25,74;117;352;-66,76;17;103;16,50;5;13,14;167,43;13;168
2021-09-26;DRS 06 Bauru;63,14;261,14;24,18;1741281;15,00;430;748;-42,51;49;258;18,99;10;66,71;558,14;53;576
2021-09-26;DRS 07 Campinas;276,14;836,71;33,00;4562125;18,34;1788;2967;-39,74;251;857;29,29;49;251,57;1116,14;251;1146
2021-09-26;DRS 08 Franca;52,29;142,00;36,82;696336;20,39;207;269;-23,05;54;142;38,03;10;26,71;194,43;32;193
2021-09-26;DRS 09 Marília;39,86;234,43;17,00;1109670;21,13;327;666;-50,90;44;228;19,30;6;52,14;388,43;45;371
2021-09-26;DRS 10 Piracicaba;51,29;276,14;18,57;1539600;17,94;482;815;-40,86;45;277;16,25;14;45,29;312,29;44;314
2021-09-26;DRS 11 Presidente Prudente;42,71;137,43;31,08;752260;18,27;333;473;-29,60;42;146;28,77;11;66,00;258,43;71;266
2021-09-26;DRS 12 Registro;14,57;44,00;33,11;278754;15,78;61;65;-6,15;14;44;31,82;0;5,57;48,00;4;48
2021-09-26;DRS 13 Ribeirão Preto;70,43;223,43;31,52;1477530;15,12;503;907;-44,54;72;228;31,58;22;72,57;309,14;61;301
2021-09-26;DRS 14 São João da Boa Vista;40,29;125,43;32,12;809836;15,49;288;398;-27,64;45;124;36,29;18;34,86;398,00;39;395
2021-09-26;DRS 15 São José do Rio Preto;105,71;423,57;24,96;1570421;26,97;774;1478;-47,63;100;423;23,64;18;69,86;557,86;60;606
2021-09-26;DRS 16 Sorocaba;69,00;290,71;23,73;2461760;11,81;467;930;-49,78;63;281;22,42;6;68,43;554,57;60;551
2021-09-26;DRS 17 Taubaté;102,71;393,43;26,11;2489629;15,80;874;1356;-35,55;96;379;25,33;23;84,71;672,29;82;656
2021-09-26;Estado de São Paulo;2409,57;7568,86;31,84;44639899;16,96;17131;24496;-30,07;2354;7502;31,38;571;2540,00;11805,57;2332;11718
2021-09-27;DRS 01 Grande São Paulo;1356,43;3468,57;39,11;21138247;16,41;9744;11557;-15,69;1351;3477;38,86;287;1526,43;5246,86;1399;5178
2021-09-27;DRS 02 Araçatuba;30,43;147,00;20,70;764041;19,24;249;405;-38,52;26;148;17,57;15;36,00;349,00;34;344
2021-09-27;DRS 03 Araraquara;16,71;156,71;10,66;991435;15,81;176;483;-63,56;19;160;11,88;6;27,71;273,29;24;267
2021-09-27;DRS 04 Baixada Santista;59,86;289,29;20,69;1831884;15,79;303;508;-40,35;56;289;19,38;6;59,57;375,71;56;376
2021-09-27;DRS 05 Barretos;16,57;108,00;15,34;425090;25,41;119;343;-65,31;15;102;14,71;3;12,57;167,43;10;169
2021-09-27;DRS 06 Bauru;62,43;260,00;24,01;1741281;14,93;423;727;-41,82;60;258;23,26;7;63,14;559,14;45;580
2021-09-27;DRS 07 Campinas;273,29;838,71;32,58;4562125;18,38;1768;2933;-39,72;265;856;30,96;37;250,43;1110,29;229;1090
2021-09-27;DRS 08 Franca;51,57;142,00;36,32;696336;20,39;210;262;-19,85;51;142;35,92;7;27,00;194,29;29;195
2021-09-27;DRS 09 Marília;40,71;233,57;17,43;1109670;21,05;326;649;-49,77;44;229;19,21;9;54,29;387,00;56;386
2021-09-27;DRS 10 Piracicaba;49,86;274,57;18,16;1539600;17,83;477;801;-40,45;47;276;17,03;15;46,00;314,86;47;328
2021-09-27;DRS 11 Presidente Prudente;42,43;138,71;30,59;752260;18,44;323;471;-31,42;41;145;28,28;3;70,14;260,00;80;267
2021-09-27;DRS 12 Registro;14,71;44,00;33,43;278754;15,78;60;64;-6,25;15;44;34,09;0;4,57;48,00;0;48
2021-09-27;DRS 13 Ribeirão Preto;69,29;225,29;30,76;1477530;15,25;493;895;-44,92;67;233;28,76;13;70,71;309,00;65;295
2021-09-27;DRS 14 São João da Boa Vista;41,29;125,14;33,00;809836;15,45;288;400;-28,00;42;124;33,87;11;35,57;400,14;36;405
