nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude
São José dos Campos;3549904;26;3;2020-03-26;    2;NA;   0,2814309;   8,0000000;   0;NA; 0,00000000;  0,0000000;0,000000000;RA de São José dos Campos;15;Taubaté;17;  710654; 103840;109941;<10;7;-23.1896;-45.8841
São Paulo;3550308;26;3;2020-03-26;  899;NA;   7,5739322; 136,2857143;  54;NA; 0,45494142;  7,7142857;0,060066741;RM de São Paulo;10;Grande São Paulo;10;11869660;1853286;152111;>150;1;-23.5329;-46.6395
São Sebastião;3550704;26;3;2020-03-26;    2;NA;   2,2952889; 135,7142857;   0;NA; 0,00000000;  7,7142857;0,000000000;RA de São José dos Campos;15;Taubaté;17;   87135;  10052;  4024;<10;7;-23.7951;-45.4143
Suzano;3552502;26;3;2020-03-26;    2;NA;   0,6872805; 133,7142857;   0;NA; 0,00000000;  7,7142857;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  291002;  37156; 20624;<10;7;-23.5448;-46.3112
Taboão da Serra;3552809;26;3;2020-03-26;    2;NA;   0,7045454; 132,1428571;   1;NA; 0,35227269;  7,8571429;0,500000000;RM de São Paulo;10;Grande São Paulo;10;  283871;  32713;  2039;<10;7;-23.6019;-46.7526
Taubaté;3554102;26;3;2020-03-26;    1;NA;   0,3253503; 129,8571429;   0;NA; 0,00000000;  7,8571429;0,000000000;RA de São José dos Campos;15;Taubaté;17;  307361;  47104;   625;<10;7;-23.0104;-45.5593
Tatuí;3554003;26;3;2020-03-26;    1;NA;   0,8324800; 129,8571429;   0;NA; 0,00000000;  7,8571429;0,000000000;RA de Sorocaba;13;Sorocaba; 6;  120123;  17470; 52375;<10;7;-23.3487;-47.8461
Valinhos;3556206;26;3;2020-03-26;    1;NA;   0,8016546; 129,7142857;   0;NA; 0,00000000;  7,8571429;0,000000000;RA de Campinas; 4;Campinas; 3;  124742;  20141; 14854;<10;7;-22.9698;-46.9974
Vargem Grande Paulista;3556453;26;3;2020-03-26;    1;NA;   1,8953034;   1,4285714;   1;NA; 1,89530344;  0,2857143;1,000000000;RM de São Paulo;10;Grande São Paulo;10;   52762;   6337;  4249;<10;7;-23.5993;-47.022
Arujá;3503901;27;3;2020-03-27;    1;   0;   1,1142806;   5,8571429;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   89744;  10776;  9617;<10;7;-23.3965;-46.32
Barueri;3505708;27;3;2020-03-27;    3;   0;   1,1346874;   6,1428571;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  264390;  29409;   657;<10;7;-23.5057;-46.879
Caieiras;3509007;27;3;2020-03-27;    2;   0;   1,9878345;   6,2857143;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  100612;  12059;  9764;<10;7;-23.3607;-46.7397
Campinas;3509502;27;3;2020-03-27;    5;   1;   0,4253506;   6,8571429;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Campinas; 3; 1175501; 192796; 79457;<10;7;-22.9053;-47.0659
Carapicuíba;3510609;27;3;2020-03-27;    2;   0;   0,5068449;   6,0000000;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  394598;  50996;  3455;<10;7;-23.5235;-46.8407
Cotia;3513009;27;3;2020-03-27;    6;   1;   2,4249871;   2,8571429;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  247424;  28357; 32399;<10;7;-23.6022;-46.919
Embu das Artes;3515004;27;3;2020-03-27;    1;   0;   0,3692899;   2,8571429;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  270790;  29639;   704;<10;7;-23.6437;-46.8579
Diadema;3513801;27;3;2020-03-27;    1;NA;   0,2472328;   2,8571429;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  404477;  47787;  3073;<10;7;-23.6813;-46.6205
Ferraz de Vasconcelos;3515707;27;3;2020-03-27;    2;NA;   1,0360708;   2,7142857;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  193037;  21049;  2956;<10;7;-23.5411;-46.371
Guarulhos;3518800;27;3;2020-03-27;   13;   4;   0,9620544;   4,2857143;   2;  1; 0,14800836;  0,2857143;0,153846154;RM de São Paulo;10;Grande São Paulo;10; 1351275; 162662; 31868;<25;6;-23.4538;-46.5333
Hortolândia;3519071;27;3;2020-03-27;    1;   0;   0,4342766;   3,7142857;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Campinas; 3;  230268;  26129;  6242;<10;7;-22.8529;-47.2143
Iracemápolis;3521408;27;3;2020-03-27;    1;   0;   4,2276148;   3,5714286;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Piracicaba;11;   23654;   3298; 11512;<10;7;-22.5832;-47.523
Jaguariúna;3524709;27;3;2020-03-27;    1;   0;   1,8232205;   2,8571429;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Campinas; 3;   54848;   7339; 14139;<10;7;-22.7037;-46.9851
Jundiaí;3525904;27;3;2020-03-27;    3;   1;   0,7370718;   3,1428571;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Campinas; 3;  407016;  69839; 43121;<10;7;-23.1852;-46.8974
Louveira;3527306;27;3;2020-03-27;    1;  -1;   2,0717660;   3,1428571;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Campinas; 3;   48268;   4812;  5513;<10;7;-23.0856;-46.9484
Mairiporã;3528502;27;3;2020-03-27;    2;   1;   2,0279451;   3,1428571;   0;  0; 0,00000000;  0,2857143;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   98622;  13203;  3207;<10;7;-23.3171;-46.5897
Mauá;3529401;27;3;2020-03-27;    2;   0;   0,4346579;   1,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  460132;  57797;  6191;<10;7;-23.6677;-46.4613
Mogi das Cruzes;3530607;27;3;2020-03-27;    8;   1;   1,8479805;   2,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  432905;  60748; 71254;<10;7;-23.5208;-46.1854
Osasco;3534401;27;3;2020-03-27;    4;   1;   0,5874026;   3,0000000;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  680964;  93147;  6495;<10;7;-23.5324;-46.7916
Poá;3539806;27;3;2020-03-27;    1;   0;   0,8655161;   3,0000000;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  115538;  15261;  1726;<10;7;-23.5333;-46.3473
Ribeirão Pires;3543303;27;3;2020-03-27;    1;   0;   0,8405622;   2,7142857;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  118968;  19424;  9908;<10;7;-23.7067;-46.4058
Ribeirão Preto;3543402;27;3;2020-03-27;    3;   2;   0,4387395;   3,0000000;   1;  0; 0,14624651;  0,1428571;0,333333333;RA de Ribeirão Preto;11;Ribeirão Preto; 1;  683777; 110330; 65092;<10;7;-21.1699;-47.8099
