munic;casos;obitos;dia;mes;codigo_ibge;latitude;longitude
sorocaba;   9;  2;27; 3;3552205;-234969;-474451
suzano;   9;NA;27; 3;3552502;-235448;-463112
taboao da serra;  41;  3;27; 3;3552809;-236019;-467526
tatui;   1;NA;27; 3;3554003;-233487;-478461
taubate;   1;NA;27; 3;3554102;-230104;-455593
terra roxa;   1;NA;27; 3;3554409; -20787;-483314
valinhos;   3;NA;27; 3;3556206;-229698;-469974
vargem grande paulista;   4;  1;27; 3;3556453;-235993; -47022
vinhedo;   1;NA;27; 3;3556701;-230302;-469833
votorantim;   2;NA;27; 3;3557006;-235446;-474388
votuporanga;   1;NA;27; 3;3557105;-204237;-499781
outros estados;  34;NA;27; 3;NA;NA;NA
outros paises;  34;NA;27; 3;NA;NA;NA
ignorado;   5;NA;27; 3;NA;NA;NA
guarulhos;NA;  5;27; 3;3518800;-234538;-465333
cotia;NA;  3;27; 3;3513009;-236022; -46919
osasco;NA;  3;27; 3;3534401;-235324;-467916
santos;NA;  2;27; 3;3548500;-239535; -46335
caieiras;NA;  1;27; 3;3509007;-233607;-467397
diadema;NA;  1;27; 3;3513801;-236813;-466205
embu das artes;NA;  1;27; 3;3515004;-236437;-468579
francisco morato;NA;  1;27; 3;3516309;-232792;-467448
itapevi;NA;  1;27; 3;3522505;-235488;-469327
aguas de lindoia;   1;NA;29; 3;3500501;-224733;-466314
agudos;   1;NA;29; 3;3500709;-224694;-489863
americana;   3;  2;29; 3;3501608;-227374;-473331
araraquara;   2;NA;29; 3;3503208;-217845; -48178
aracatuba;   4;NA;29; 3;3502804;-212076;-504401
aruja;   6;  1;29; 3;3503901;-233965;  -4632
assis;   1;NA;29; 3;3504008;  -2266;-504183
atibaia;   4;NA;29; 3;3504107;-231171;-465563
barueri;  30;  1;29; 3;3505708;-235057; -46879
bauru;   3;  1;29; 3;3506003;-223246;-490871
botucatu;   7;NA;29; 3;3507506;-228837;-484437
brodowski;   1;NA;29; 3;3507803;-209845;-476572
cachoeira paulista;   1;NA;29; 3;3508603;-226665;-450154
caieiras;  20;NA;29; 3;3509007;-233607;-467397
cajamar;   1;NA;29; 3;3509205; -23355;-468781
campinas;  26;  4;29; 3;3509502;-229053;-470659
carapicuiba;  14;  1;29; 3;3510609;-235235;-468407
cedral;   1;NA;29; 3;3511300;-209009;-492664
cotia;  29;NA;29; 3;3513009;-236022; -46919
cravinhos;   2;  1;29; 3;3513108; -21338;-477324
diadema;  24;NA;29; 3;3513801;-236813;-466205
dracena;   1;  1;29; 3;3514403;-214843; -51535
embu das artes;  20;NA;29; 3;3515004;-236437;-468579
ferraz de vasconcelos;  15;NA;29; 3;3515707;-235411; -46371
franca;   2;NA;29; 3;3516200;-205352;-474039
francisco morato;   8;NA;29; 3;3516309;-232792;-467448
